epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4730.36,1.28392,0.68943,0.94914,0.87198,0.90783,0.93897,0.58995,1.20618,0.66935,0.91946,0.000614,0.000614,0.000614
44,4807.57,1.28315,0.68856,0.94638,0.87834,0.91849,0.94653,0.61926,1.15609,0.65308,0.9088,0.000581,0.000581,0.000581
45,4885.07,1.28782,0.69184,0.94596,0.87444,0.91865,0.94224,0.61012,1.15573,0.65527,0.90848,0.000548,0.000548,0.000548
46,5025.27,1.27401,0.68379,0.94506,0.87825,0.91371,0.94501,0.62147,1.15007,0.64304,0.90856,0.000515,0.000515,0.000515
47,5453.1,1.2665,0.67357,0.94157,0.87764,0.90916,0.94398,0.61265,1.16897,0.65507,0.91205,0.000482,0.000482,0.000482
48,5537.34,1.27126,0.68078,0.94296,0.88188,0.90573,0.94217,0.60432,1.1835,0.65442,0.91339,0.000449,0.000449,0.000449
49,5619.68,1.27491,0.67818,0.94273,0.87911,0.91862,0.94745,0.61998,1.14649,0.6433,0.90562,0.000416,0.000416,0.000416
50,5711.21,1.25394,0.66648,0.93365,0.88037,0.91893,0.94591,0.61874,1.15705,0.63865,0.90879,0.000383,0.000383,0.000383
51,5851.7,1.25906,0.67031,0.95556,0.87651,0.91156,0.94113,0.59475,1.19007,0.65797,0.91483,0.00035,0.00035,0.00035
52,5926.87,1.24382,0.6624,0.95545,0.87881,0.91769,0.9458,0.60718,1.18458,0.6479,0.91283,0.000317,0.000317,0.000317
53,6008.75,1.23108,0.65753,0.95138,0.88231,0.9174,0.94905,0.62193,1.16342,0.63917,0.90911,0.000284,0.000284,0.000284
54,6084.19,1.21607,0.64863,0.94486,0.88178,0.92061,0.94946,0.62477,1.15137,0.63309,0.90759,0.000251,0.000251,0.000251
55,6159.49,1.22108,0.64826,0.95042,0.88003,0.92289,0.94916,0.6164,1.15931,0.63353,0.9076,0.000218,0.000218,0.000218
56,6234.94,1.20971,0.64343,0.94528,0.88296,0.92219,0.95048,0.61882,1.16127,0.63345,0.9086,0.000185,0.000185,0.000185
57,6310.11,1.20987,0.64269,0.94759,0.88032,0.92118,0.94952,0.62477,1.15621,0.63281,0.90892,0.000152,0.000152,0.000152
58,6387.88,1.19413,0.63426,0.94175,0.88108,0.92371,0.94997,0.62108,1.16424,0.63056,0.90907,0.000119,0.000119,0.000119
59,6463.22,1.19556,0.63142,0.94048,0.88693,0.92381,0.95421,0.64182,1.11976,0.61548,0.90074,8.6e-05,8.6e-05,8.6e-05
60,6538.37,1.19603,0.63383,0.94234,0.88976,0.92068,0.95351,0.63633,1.13588,0.61906,0.90415,5.3e-05,5.3e-05,5.3e-05
